game_id,game_date,team_id,team_name,goals_for,goals_against,shots_for,shots_against,faceoff_win_pct,power_play_pct,penalty_kill_pct,wins,losses,points,point_pct,team_shutouts,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020024,,6,Boston Bruins,3,1,31.0,22.0,0.535714,0.0,1.0,1,0,2,1.0,0,25,17,15,2,8,0
2025020024,,7,Buffalo Sabres,1,3,22.0,31.0,0.464285,0.0,1.0,0,1,0,0.0,0,32,16,17,1,8,0
2025020025,,10,Toronto Maple Leafs,3,6,23.0,35.0,0.480769,0.0,0.75,0,1,0,0.0,0,22,16,13,2,10,0
2025020025,,17,Detroit Red Wings,6,3,35.0,23.0,0.51923,0.25,1.0,1,0,2,1.0,0,15,14,13,4,6,1
2025020026,,1,New Jersey Devils,5,3,31.0,17.0,0.576271,0.0,1.0,1,0,2,1.0,0,27,24,14,6,6,0
2025020026,,14,Tampa Bay Lightning,3,5,17.0,31.0,0.423728,0.0,1.0,0,1,0,0.0,0,25,17,16,3,8,0
2025020027,,9,Ottawa Senators,2,6,28.0,27.0,0.672131,0.0,0.4,0,1,0,0.0,0,27,17,22,13,10,0
2025020027,,13,Florida Panthers,6,2,27.0,28.0,0.327868,0.6,1.0,1,0,2,1.0,0,28,7,16,5,4,3
2025020028,,2,New York Islanders,2,4,36.0,29.0,0.52459,0.666666,1.0,0,1,0,0.0,0,33,22,19,3,4,2
2025020028,,15,Washington Capitals,4,2,29.0,36.0,0.475409,0.0,0.333334,1,0,2,1.0,0,23,20,17,6,4,0
2025020029,,3,New York Rangers,6,1,30.0,19.0,0.48,0.5,1.0,1,0,2,1.0,0,30,12,18,8,8,2
2025020029,,5,Pittsburgh Penguins,1,6,19.0,30.0,0.52,0.0,0.5,0,1,0,0.0,0,14,18,17,6,6,0
2025020030,,4,Philadelphia Flyers,3,4,23.0,39.0,0.463768,0.333333,1.0,0,0,1,0.5,0,27,21,17,5,10,1
2025020030,,12,Carolina Hurricanes,4,3,39.0,23.0,0.536231,0.0,0.666667,1,0,2,1.0,0,24,13,10,2,8,0
2025020031,,8,Montréal Canadiens,3,2,28.0,22.0,0.615384,0.2,0.75,1,0,2,1.0,0,16,8,14,4,17,2
2025020031,,16,Chicago Blackhawks,2,3,22.0,28.0,0.384615,0.25,0.8,0,1,0,0.0,0,22,16,14,8,39,1
2025020032,,18,Nashville Predators,2,3,23.0,23.0,0.578947,0.0,1.0,0,0,1,0.5,0,20,12,25,7,12,0
2025020032,,68,Utah Mammoth,3,2,23.0,23.0,0.421052,0.0,1.0,1,0,2,1.0,0,21,20,20,6,14,0
2025020033,,29,Columbus Blue Jackets,7,4,32.0,52.0,0.619718,0.333333,0.5,1,0,2,1.0,0,16,16,11,6,12,1
2025020033,,30,Minnesota Wild,4,7,52.0,32.0,0.380281,0.5,0.666667,0,1,0,0.0,0,18,19,13,6,6,4
2025020034,,21,Colorado Avalanche,4,4,39.0,22.0,0.473684,0.2,1.0,0,0,1,0.5,0,19,8,15,4,9,1
2025020034,,25,Dallas Stars,4,4,22.0,39.0,0.526315,0.0,0.8,1,0,2,1.0,0,17,25,22,3,15,0
2025020035,,22,Edmonton Oilers,3,1,37.0,15.0,0.555555,0.0,1.0,1,0,2,1.0,0,22,13,14,2,6,0
2025020035,,23,Vancouver Canucks,1,3,15.0,37.0,0.444444,0.0,1.0,0,1,0,0.0,0,26,14,21,3,12,0
2025020036,,24,Anaheim Ducks,7,6,44.0,23.0,0.421052,0.5,0.5,1,0,2,1.0,0,24,12,14,3,13,2
2025020036,,28,San Jose Sharks,6,7,23.0,44.0,0.578947,0.5,0.5,0,0,1,0.5,0,20,18,19,3,13,2
2025020037,,54,Vegas Golden Knights,1,2,27.0,22.0,0.586206,0.333333,0.666667,0,0,1,0.5,0,22,14,20,3,11,1
2025020037,,55,Seattle Kraken,2,1,22.0,27.0,0.413793,0.333333,0.666667,1,0,2,1.0,0,30,20,17,2,11,1
2025020038,,3,New York Rangers,0,1,35.0,21.0,0.653061,0.0,1.0,0,1,0,0.0,0,18,15,14,6,2,0
2025020038,,15,Washington Capitals,1,0,21.0,35.0,0.346938,0.0,1.0,1,0,2,1.0,1,26,18,17,3,4,0
2025020039,,7,Buffalo Sabres,1,3,28.0,37.0,0.435483,0.0,1.0,0,1,0,0.0,0,11,11,20,7,10,0
