game_id,game_date,team_id,team_name,goals_for_avg5,goals_against_avg5,shots_for_avg5,shots_against_avg5,faceoff_win_pct_avg5,power_play_pct_avg5,penalty_kill_pct_avg5,hits_avg5,blocked_shots_avg5,giveaways_avg5,takeaways_avg5,pims_avg5,goals_for_avg10,goals_against_avg10,shots_for_avg10,shots_against_avg10,faceoff_win_pct_avg10,power_play_pct_avg10,penalty_kill_pct_avg10,hits_avg10,blocked_shots_avg10,giveaways_avg10,takeaways_avg10,pims_avg10
2025020323,,1,New Jersey Devils,2.0,2.8,31.8,27.6,0.5300212,0.1166666,0.6000002,16.8,14.4,14.8,5.0,5.0,2.5,3.5,30.3,30.0,0.5088867,0.13888877777777775,0.7333335,18.6,15.3,14.8,4.1,5.5
2025020339,,1,New Jersey Devils,1.8,2.8,33.4,25.6,0.5238615999999999,0.1166666,0.6000002,17.0,12.6,15.0,4.6,4.0,2.1,2.8,30.5,28.2,0.5153776,0.13888877777777775,0.8000001000000001,18.3,15.6,14.6,4.4,4.5
2025020354,,1,New Jersey Devils,2.0,3.4,33.4,26.6,0.5429093999999999,0.1666666,0.8000002,20.0,11.2,14.4,4.4,6.0,2.2,2.9,30.9,28.3,0.5119294,0.12037033333333334,0.8000001000000001,18.1,14.9,14.5,4.0,5.5
2025020364,,1,New Jersey Devils,2.0,3.4,30.0,29.6,0.49819120000000006,0.1666666,0.8000002,21.2,13.6,13.4,4.0,8.2,2.2,3.1,30.7,27.4,0.5004654000000001,0.10833330000000001,0.7666668000000001,19.4,14.0,13.9,4.1,6.4
2025020379,,1,New Jersey Devils,2.2,3.4,29.6,28.0,0.5051066000000001,0.2,0.7500001999999999,23.8,13.0,12.2,4.0,9.4,2.4,2.9,30.3,26.8,0.5043821,0.1583333,0.7416668000000001,20.5,13.9,13.7,4.1,6.8
2025020395,,1,New Jersey Devils,3.0,2.4,27.8,30.6,0.50466,0.2,0.8833334,24.4,14.8,13.2,4.4,9.6,2.5,2.6,29.8,29.1,0.5173406,0.1583333,0.7416668000000001,20.6,14.6,14.0,4.7,7.3
2025020406,,1,New Jersey Devils,3.6,3.2,27.8,32.0,0.508302,0.25,0.8833334,23.8,13.6,14.0,4.2,10.4,2.7,3.0,30.6,28.8,0.5160817999999999,0.1833333,0.7416668000000001,20.4,13.1,14.5,4.4,7.2
2025020421,,1,New Jersey Devils,3.6,3.0,27.4,31.2,0.4800000000000001,0.22999999999999998,0.8166667999999999,22.8,15.0,14.0,4.8,16.0,2.8,3.2,30.4,28.9,0.5114547,0.1983333,0.8083335,21.4,13.1,14.2,4.6,11.0
2025020436,,1,New Jersey Devils,2.8,3.0,29.4,29.8,0.5334608000000001,0.22999999999999998,0.8833334,22.4,13.0,16.0,4.8,13.4,2.4,3.2,29.7,29.7,0.515826,0.1983333,0.8416667999999999,21.8,13.3,14.7,4.4,10.8
2025020443,,1,New Jersey Devils,2.2,3.2,28.4,30.2,0.5278436,0.13,0.7333334,20.2,11.6,16.8,5.4,12.6,2.2,3.3,29.0,29.1,0.5164751,0.16499999999999998,0.7416668,22.0,12.3,14.5,4.7,11.0
2025020467,,1,New Jersey Devils,1.4,4.0,29.8,26.2,0.5028356,0.13,0.7333334,19.2,10.8,16.6,4.6,11.2,2.2,3.2,28.8,28.4,0.5037478,0.16499999999999998,0.8083334000000001,21.8,12.8,14.9,4.5,10.4
2025020481,,1,New Jersey Devils,1.6,3.6,29.8,27.6,0.48129720000000004,0.08,0.5333334,18.2,12.4,16.6,5.0,11.6,2.6,3.4,28.8,29.8,0.4947996,0.16499999999999998,0.7083334,21.0,13.0,15.3,4.6,11.0
2025020495,,1,New Jersey Devils,1.8,4.2,30.6,29.6,0.5065688,0.06666659999999999,0.46666679999999994,20.0,12.8,16.6,5.2,5.8,2.7,3.6,29.0,30.4,0.4932844,0.1483333,0.6416668,21.4,13.9,15.3,5.0,10.9
2025020508,,1,New Jersey Devils,2.6,3.8,29.0,30.2,0.5083561999999999,0.06666659999999999,0.46666679999999994,18.8,13.4,15.2,5.4,5.8,2.7,3.4,29.2,30.0,0.5209085,0.1483333,0.6750000999999999,20.6,13.2,15.6,5.1,9.6
2025020533,,1,New Jersey Devils,2.8,3.6,29.4,28.2,0.5055448,0.06666659999999999,0.5333336,19.4,13.4,15.2,4.8,6.2,2.5,3.4,28.9,29.2,0.5166942,0.0983333,0.6333335,19.8,12.5,16.0,5.1,9.4
2025020547,,1,New Jersey Devils,2.8,3.0,30.0,31.2,0.5309994,0.06666659999999999,0.48333360000000003,20.6,12.2,14.0,5.0,7.4,2.1,3.5,29.9,28.7,0.5169174999999999,0.0983333,0.6083335,19.9,11.5,15.3,4.8,9.3
2025020565,,1,New Jersey Devils,2.4,2.6,28.0,30.2,0.5312842,0.10666660000000001,0.6333336,20.0,14.4,13.4,5.0,7.4,2.0,3.1,28.9,28.9,0.5062907,0.0933333,0.5833335,19.1,13.4,15.0,5.0,9.5
2025020580,,1,New Jersey Devils,1.8,1.6,26.0,28.2,0.5519615999999999,0.04,0.7083335,16.8,14.4,14.2,4.2,5.2,1.8,2.9,28.3,28.9,0.5292652,0.05333330000000001,0.5740742222222223,18.4,13.6,15.4,4.7,5.5
2025020592,,1,New Jersey Devils,1.2,1.8,28.0,27.0,0.536538,0.05,0.6111113333333333,16.4,16.0,14.2,3.4,4.4,1.9,2.8,28.5,28.6,0.5224470999999999,0.05925922222222223,0.5208335000000001,17.6,14.7,14.7,4.4,5.1
2025020617,,1,New Jersey Devils,1.6,2.2,30.4,30.6,0.5008235999999999,0.175,0.8333333333333334,16.2,15.8,14.2,4.2,4.0,2.2,2.9,29.9,29.4,0.5031842,0.11481477777777778,0.6458335000000001,17.8,14.6,14.7,4.5,5.1
2025020627,,1,New Jersey Devils,1.4,2.8,30.4,29.2,0.4765578,0.175,0.8055556666666667,15.6,16.0,15.0,4.2,4.6,2.1,2.9,30.2,30.2,0.5037786000000001,0.11481477777777778,0.604166875,18.1,14.1,14.5,4.6,6.0
2025020645,,1,New Jersey Devils,1.6,3.0,32.6,29.6,0.48396539999999993,0.375,0.8888889999999999,16.6,12.8,15.2,4.2,5.2,2.0,2.8,30.3,29.9,0.5076248000000001,0.22592588888888887,0.729166875,18.3,13.6,14.3,4.6,6.3
2025020660,,1,New Jersey Devils,2.2,2.6,33.2,30.8,0.470022,0.45833325,0.91666675,18.2,13.0,14.6,4.8,6.0,2.0,2.1,29.6,29.5,0.5109918,0.22592588888888887,0.8125001249999999,17.5,13.7,14.4,4.5,5.6
2025020669,,1,New Jersey Devils,2.2,2.8,32.6,31.6,0.44815740000000004,0.3666666,0.9333334000000001,19.6,10.8,14.2,5.2,7.2,1.7,2.3,30.3,29.3,0.4923477,0.22592588888888887,0.8125001249999999,18.0,13.4,14.2,4.3,5.8
2025020687,,1,New Jersey Devils,1.6,3.8,33.8,29.8,0.4893912,0.26666660000000003,0.9166667500000001,19.8,9.8,15.2,4.6,6.4,1.6,3.0,32.1,30.2,0.49510740000000003,0.22592588888888887,0.8809524285714285,18.0,12.8,14.7,4.4,5.2
2025020711,,1,New Jersey Devils,1.8,3.8,33.0,29.6,0.5127942,0.3666666,0.91666675,21.2,11.4,15.8,4.8,5.4,1.6,3.3,31.7,29.4,0.49467599999999995,0.28148144444444445,0.8690477142857143,18.4,13.7,15.4,4.5,5.0
2025020721,,1,New Jersey Devils,1.8,4.2,31.8,27.0,0.5166402,0.1666666,0.91666675,21.2,11.6,16.0,4.6,4.0,1.7,3.6,32.2,28.3,0.5003028,0.25925922222222225,0.904762,18.9,12.2,15.6,4.4,4.6
2025020735,,1,New Jersey Devils,2.0,4.4,31.6,25.4,0.5281908,0.1,0.79166675,20.0,12.6,15.4,4.2,4.0,2.1,3.5,32.4,28.1,0.49910640000000006,0.25925922222222225,0.85416675,19.1,12.8,15.0,4.5,5.0
2025020759,,1,New Jersey Devils,2.4,4.2,31.0,23.0,0.5464382,0.2,0.66666675,18.4,13.2,15.8,5.4,3.6,2.3,3.5,31.8,27.3,0.4972978,0.2833333,0.8148148888888889,19.0,12.0,15.0,5.3,5.4
